imei,total_rpc_count,unlock_count,found_unlock,first_rpc_ts,last_rpc_ts,first_unlock_ts,last_unlock_ts
359404230082423,855,855,true,2025-04-08T15:19:40.923346,2025-10-15T11:15:49.284727,2025-04-08T15:19:40.923346,2025-10-15T11:15:49.284727
351901930027416,705,705,true,2025-02-21T10:28:48.169714,2025-10-15T05:30:21.48678,2025-02-21T10:28:48.169714,2025-10-15T05:30:21.48678
351901930026103,600,600,true,2024-12-19T12:23:18.800235,2025-10-15T09:54:56.433214,2024-12-19T12:23:18.800235,2025-10-15T09:54:56.433214
359746167128136,513,513,true,2024-10-22T16:10:13.74719,2025-07-26T07:31:29.50053,2024-10-22T16:10:13.74719,2025-07-26T07:31:29.50053
351901930025949,456,456,true,2024-12-19T08:51:23.025378,2025-10-14T14:55:15.514686,2024-12-19T08:51:23.025378,2025-10-14T14:55:15.514686
351901930027614,407,407,true,2025-02-21T10:08:41.774235,2025-10-15T09:37:17.787477,2025-02-21T10:08:41.774235,2025-10-15T09:37:17.787477
359404230081979,387,387,true,2025-04-08T15:03:21.868746,2025-10-15T07:34:50.101496,2025-04-08T15:03:21.868746,2025-10-15T07:34:50.101496
351901930025840,341,341,true,2024-12-05T12:16:39.933496,2025-08-18T13:54:59.405337,2024-12-05T12:16:39.933496,2025-08-18T13:54:59.405337
351901930066026,340,340,true,2024-11-04T11:22:11.588539,2025-09-25T12:25:25.919711,2024-11-04T11:22:11.588539,2025-09-25T12:25:25.919711
351901930025246,213,213,true,2025-03-31T13:41:42.720824,2025-10-14T13:39:21.742478,2025-03-31T13:41:42.720824,2025-10-14T13:39:21.742478
351901930063577,196,196,true,2024-08-15T07:46:11.512522,2025-10-11T19:01:17.074062,2024-08-15T07:46:11.512522,2025-10-11T19:01:17.074062
351901930026087,156,156,true,2025-02-06T07:32:22.483871,2025-09-29T04:56:21.680015,2025-02-06T07:32:22.483871,2025-09-29T04:56:21.680015
359404230082019,152,152,true,2025-04-08T14:51:50.356466,2025-10-12T17:02:02.489387,2025-04-08T14:51:50.356466,2025-10-12T17:02:02.489387
351901930025444,136,136,true,2025-03-31T12:22:46.75172,2025-10-11T07:35:41.629041,2025-03-31T12:22:46.75172,2025-10-11T07:35:41.629041
351901930027507,135,135,true,2025-04-21T12:46:24.783553,2025-10-12T18:06:15.986427,2025-04-21T12:46:24.783553,2025-10-12T18:06:15.986427
351901930026020,131,125,true,2025-03-30T15:16:50.220013,2025-10-15T08:51:28.160694,2025-03-30T15:16:50.220013,2025-10-15T08:51:28.160694
