id,uuid,timestamp,just_booted,reset_reason,uptime,fw_version,modem_fw_version,rsrp
234227,359404230124795,,,,17395,,,-128
234223,359404230124795,,,,17285,,,-134
234218,359404230124795,,,,16728,,,-133
234208,359404230124795,,,,16347,,,-130
234206,359404230124795,,,,15931,,,-137
234195,359404230124795,,,,15556,,,-130
234194,359404230124795,,,,15483,,,-133
234145,359404230124795,,,,11840,,,-132
234097,359404230124795,,,,9442,,,-132
234087,359404230124795,,,,8718,,,-132
233936,359404230124795,,,,183,,,-131
233916,359404230124795,,,,34195,,,-120
233484,359404230124795,,,,3207,,,-120
233475,359404230124795,,,,1836,,,-122
233463,359404230124795,,,,243,,,-124
233459,359404230124795,,,,32,,,-117
233456,359404230124795,,,,373,,,-115
233342,359404230124795,,,,356,,,-117
233319,359404230124795,,,,14,,,-113
233317,359404230124795,,,,270,,,-120
233136,359404230124795,,,,43779,,,-114
233037,359404230124795,,,,36795,,,-116
232656,359404230124795,,,,10437,,,-117
232426,359404230124795,,,,906,,,-117
228257,359404230124795,,,,20,,,-111
227847,359404230124795,,,,12,,,-111
227208,359404230124795,,,,39,,,-111
227152,359404230124795,,,,244,,,-115
227149,359404230124795,,,,14646,,,-123
227147,359404230124795,,,,14476,,,-122
226989,359404230124795,,,,1447,,,-129
226987,359404230124795,,,,1286,,,-126
226981,359404230124795,,,,654,,,-129
226978,359404230124795,,,,376,,,-125
226138,359404230124795,,,,35,,,-111
226022,359404230124795,,,,337,,,-110
225994,359404230124795,,,,345,,,-115
225482,359404230124795,,,,231,,,-116
225467,359404230124795,,,,6880,,,-131
225447,359404230124795,,,,5816,,,-129
225348,359404230124795,,,,336,,,-136
223955,359404230124795,,,,72639,,,-109
223592,359404230124795,,,,55856,,,-127
222570,359404230124795,,,,540,,,-109
222564,359404230124795,,,,95,,,-129
222508,359404230124795,,,,269,,,-110
222473,359404230124795,,,,232,,,-113
222361,359404230124795,,,,301,,,-120
219319,359404230124795,,,,11,,,-96
219152,359404230124795,,,,2248,,,-74
301283,359404230124522,,,,10,,,-105
301279,359404230124522,,,,219,,,-96
301265,359404230124522,,,,35,,,-105
301262,359404230124522,,,,22,,,-108
301248,359404230124522,,,,13155,,,-104
