uuid,excellent,moderate,poor,unsuccessful rpc
351901930024744,52,47,8,6
351901930025246,99,54,6,54
351901930025444,100,25,6,5
351901930025840,75,22,2,242
351901930025949,185,90,13,168
351901930026020,68,41,8,8
351901930026087,95,35,3,23
351901930026103,324,93,2,181
351901930027416,531,133,3,38
351901930027507,76,16,1,42
351901930027614,320,77,2,8
351901930063577,122,45,4,25
351901930066026,84,15,2,239
359404230081979,221,91,3,72
359404230081987,73,15,0,24
359404230082019,84,45,9,14
359404230082423,624,186,5,40
359404230124332,78,25,4,7
359746167128136,108,72,10,323
