uuid,<1 sec,1–5 sec,>5 sec,Total,% <1 sec,% 1–5 sec,% >5 sec,Performance
351901930024744,52,47,8,107,48.6,43.9,7.5,Poor
351901930025246,99,54,6,159,62.3,34.0,3.8,Moderate
351901930025444,100,25,6,131,76.3,19.1,4.6,Moderate
351901930025840,75,22,2,99,75.8,22.2,2.0,Moderate
351901930025949,185,90,13,288,64.2,31.2,4.5,Moderate
351901930026020,68,41,8,117,58.1,35.0,6.8,Moderate
351901930026087,95,35,3,133,71.4,26.3,2.3,Moderate
351901930026103,324,93,2,419,77.3,22.2,0.5,Moderate
351901930027416,531,133,3,667,79.6,19.9,0.4,Moderate
351901930027507,76,16,1,93,81.7,17.2,1.1,Excellent
351901930027614,320,77,2,399,80.2,19.3,0.5,Excellent
351901930063577,122,45,4,171,71.3,26.3,2.3,Moderate
351901930066026,84,15,2,101,83.2,14.9,2.0,Excellent
359404230081979,221,91,3,315,70.2,28.9,1.0,Moderate
359404230081987,73,15,0,88,83.0,17.0,0.0,Excellent
359404230082019,84,45,9,138,60.9,32.6,6.5,Moderate
359404230082423,624,186,5,815,76.6,22.8,0.6,Moderate
359404230124332,78,25,4,107,72.9,23.4,3.7,Moderate
359746167128136,108,72,10,190,56.8,37.9,5.3,Moderate
