uuid,total_rpc,successful_rpc,success_percentage,failed_or_nan
351901930027614,407,399,98.03439803439804,8
351901930025444,136,131,96.32352941176471,5
359404230082423,855,815,95.32163742690058,40
351901930024744,113,107,94.69026548672566,6
351901930027416,705,667,94.60992907801419,38
359404230124332,114,107,93.85964912280701,7
351901930026020,125,117,93.6,8
359404230082019,152,138,90.78947368421052,14
351901930063577,196,171,87.24489795918367,25
351901930026087,156,133,85.25641025641026,23
359404230081979,387,315,81.3953488372093,72
359404230081987,112,88,78.57142857142857,24
351901930025246,213,159,74.64788732394366,54
351901930026103,600,419,69.83333333333333,181
351901930027507,135,93,68.88888888888889,42
351901930025949,456,287,62.93859649122807,169
359746167128136,513,190,37.03703703703704,323
351901930066026,340,100,29.41176470588235,240
351901930025840,341,99,29.032258064516128,242
