uuid,count,mean,std,min,max,median,iqr
359404230124712,29,-62.58620689655172,7.389747924268896,-83,-54,-60.0,4.0
351901930027945,4678,-66.81701581872595,5.26036583269483,-113,-59,-66.0,6.0
359404230081961,1,-68.0,,-68,-68,-68.0,0.0
359404230081631,1,-70.0,,-70,-70,-70.0,0.0
359404230082241,3,-70.0,1.7320508075688772,-72,-69,-69.0,1.5
359404230081573,3,-70.66666666666667,2.516611478423583,-73,-68,-71.0,2.5
359404230124688,12,-73.08333333333333,4.8139632761626245,-82,-66,-72.0,6.5
359404230082399,3,-73.33333333333333,8.386497083606082,-83,-68,-69.0,7.5
359404230082159,68,-73.58823529411765,2.91283979053138,-79,-66,-73.5,4.25
359404230123953,13,-75.23076923076923,4.6035103662648265,-88,-71,-74.0,4.0
351901930026251,8977,-77.52222345995321,2.846641241344485,-109,-74,-77.0,2.0
351901930026301,5634,-77.58945686900958,6.060459540761043,-103,-53,-79.0,6.0
359404230082589,2,-78.5,14.849242404917497,-89,-68,-78.5,10.5
359404230082571,2,-80.5,12.020815280171307,-89,-72,-80.5,8.5
351901930024744,827,-80.5671100362757,15.771945600662281,-140,-56,-75.0,17.0
359404230124464,73,-82.31506849315069,10.515698202012041,-102,-65,-86.0,20.0
359404230124456,29,-82.96551724137932,10.407698931288081,-110,-68,-79.0,16.0
359404230081730,2,-84.5,7.7781745930520225,-90,-79,-84.5,5.5
359404230124134,53,-84.60377358490567,15.701959239144342,-118,-63,-84.0,25.0
359404230071061,50,-84.92,5.9447799087321425,-108,-73,-83.0,2.0
359404230081680,276,-85.26811594202898,8.596015867892175,-107,-76,-79.0,15.25
359404230124043,125,-85.976,3.2514612099792912,-93,-72,-86.0,1.0
359404230070428,29,-86.13793103448276,3.4405578651790365,-90,-71,-87.0,3.0
359404230124027,111,-86.18018018018019,2.841888610823951,-90,-67,-87.0,3.0
351901930025279,2010,-86.25721393034826,2.9997528019948785,-121,-63,-86.0,0.0
351901930063437,1024,-86.716796875,11.98532301749005,-128,-62,-91.0,16.0
