uuid,count,mean,std,min,max,median,iqr
351901930024744,827,120543866.62031439,146766261.2624757,10223,498921901,43927340.0,188610799.0
351901930025279,2010,448063225.18557215,284377809.45540273,6194,1058711243,443969087.0,432410398.5
351901930025717,37,338179298.5675676,431011952.0653434,17088,1943406471,224228007.0,684271175.0
351901930026251,8977,664166510.8564109,513770367.93895054,7821,2118429707,562588181.0,739382890.0
351901930026269,3765,282605515.4677291,204281082.26558244,6472,1862031297,250512022.0,319949006.0
351901930026301,5634,412563037.59371674,310879879.66874593,8107,2122506181,342169026.5,524673915.0
351901930027408,5655,321358489.54022986,394286019.53096765,8365,1639388801,159954604.0,396001909.0
351901930027614,275,136206883.7709091,243265381.77930808,10270,2121173650,85456347.0,126913859.0
351901930027945,4678,301705825.4784096,282240381.25746,5584,2074008411,239508681.5,314897407.75
351901930063437,1024,37260663.01464844,34954947.435704984,6583,508371255,30821466.5,51518417.25
359404230068711,59,19847.20338983051,55898.82255985907,7,246724,86.0,2709.5
359404230070428,29,32624.241379310344,54405.87412590611,7,140800,30.0,82074.0
359404230070865,2,19166.5,26759.04192044252,245,38088,19166.5,18921.5
359404230071061,50,113956.2,243535.54781684128,6,863628,36.0,70835.0
359404230081573,3,98.33333333333333,132.850793499073,9,251,35.0,121.0
359404230081607,128,15396.2890625,51029.11798768252,6,345900,26.5,361.0
359404230081615,243,9811.860082304527,28797.402702789415,5,201058,28.0,218.0
359404230081631,1,225.0,,225,225,225.0,0.0
359404230081664,221,5903.176470588235,20202.853777950826,5,137524,24.0,19.0
359404230081680,276,10180.876811594202,39362.398207232865,5,482723,26.0,19.25
359404230081722,346,6275.9653179190755,36512.24233007072,6,393938,25.0,16.0
359404230081730,2,134.5,166.17009357883867,17,252,134.5,117.5
359404230081755,335,6695.435820895523,21084.16336276342,6,143789,27.0,19.5
359404230081763,344,6470.6511627906975,35066.019789255595,5,400911,24.0,19.5
359404230081771,246,6779.040650406504,24838.527449500005,5,156474,23.5,19.0
359404230081789,366,1658.7431693989072,16575.638996328227,4,304997,21.0,15.0
359404230081847,59,220524.11864406778,503341.2133995731,12,2432358,8647.0,160816.0
359404230081862,363,8555.677685950413,25163.39303988642,5,163700,25.0,21.0
359404230081870,368,9486.847826086956,55400.43789037632,4,710234,24.0,18.0
359404230081896,447,19198.84116331096,42834.37061984782,5,343108,33.0,14719.5
359404230081920,501,16211.722554890219,36379.455050795776,5,371577,33.0,17481.0
359404230081938,299,2632.879598662207,9992.109664255184,6,98811,25.0,17.0
359404230081961,1,220.0,,220,220,220.0,0.0
359404230081979,69,1383.0434782608695,10526.268700165403,5,87488,23.0,19.0
359404230081987,95,101496.04210526316,213634.82664364923,11,1221006,25535.0,139498.5
359404230081995,142,42982.31690140845,137677.47083726912,7,728289,30.0,1744.0
359404230082019,117,220923.02564102566,587296.982800975,6,2756441,1967.0,81209.0
359404230082050,247,23533.55060728745,99423.05833010699,5,1212792,29.0,816.0
359404230082068,156,9485.647435897436,34842.42752714818,5,198864,26.0,18.0
359404230082092,159,59402.54716981132,93818.60278843102,6,400638,1010.0,96614.0
359404230082118,293,12044.576791808873,41264.684235222376,6,299113,25.0,19.0
359404230082126,352,14938.00284090909,90129.7920756094,7,986539,26.0,18.0
359404230082159,68,4612.779411764706,15055.21485875083,8,69157,26.0,20.25
359404230082191,183,12037.180327868853,42962.391255880386,5,334552,26.0,20.0
359404230082209,267,18132.56554307116,78526.38689689741,5,958763,36.0,3765.5
359404230082233,1585,113.8416403785489,838.6800751579851,6,20775,22.0,16.0
359404230082241,3,85.66666666666667,120.76975338773087,11,225,21.0,107.0
359404230082258,210,6855.42380952381,26969.77650453734,5,176467,24.0,20.0
359404230082316,319,15604.050156739811,64001.278390563515,6,719335,26.0,18.0
359404230082324,210,6595.742857142857,26687.646701600468,5,186207,26.0,17.0
359404230082332,272,12400.003676470587,27776.294465469276,5,208600,27.0,2586.0
359404230082340,140,10357.935714285713,43187.83865328989,4,380544,26.0,19.25
359404230082357,243,31695.8353909465,141640.99427701964,7,1011440,30.0,2381.0
359404230082365,128,28561.609375,141687.17889263964,4,1130293,27.0,19.25
359404230082373,198,9590.828282828283,28798.99666594805,5,184873,29.0,341.0
359404230082399,3,101.66666666666667,129.51576480619389,20,251,34.0,115.5
359404230082407,67,20298.402985074626,50229.344762242654,5,240231,29.0,2017.5
359404230082423,334,3792.994011976048,11178.972433396137,4,76293,25.0,18.75
359404230082449,246,12896.369918699187,45425.675133968965,6,360727,26.5,18.0
359404230082456,405,27488.506172839505,74105.89002958749,5,368253,29.0,9184.0
359404230082464,254,14288.212598425196,48700.69187837977,6,351797,29.0,1814.25
359404230082506,387,20147.330749354005,59812.85717878992,7,431895,27.0,208.5
359404230082514,272,5988.922794117647,29536.59028652708,7,364052,24.0,17.0
359404230082522,513,7299.555555555556,24139.844054951882,5,234756,24.0,19.0
359404230082530,184,6354.402173913043,23667.447991440415,5,166704,26.0,18.25
359404230082555,195,13094.010256410256,52243.607156883634,5,358055,25.0,232.0
359404230082563,269,10271.955390334573,33501.43625755317,6,262873,27.0,20.0
359404230082571,2,133.5,140.71424945612296,34,233,133.5,99.5
359404230082589,2,129.5,132.22896808188437,36,223,129.5,93.5
359404230082613,160,8580.45625,30111.547772506405,5,171979,25.5,19.25
359404230082621,189,15024.994708994709,48435.993046482574,6,519582,27.0,1131.0
359404230082647,298,4842.244966442953,19285.213791055707,5,160670,26.0,18.0
359404230082654,302,23163.082781456953,85637.45146696769,6,568051,26.0,20.0
359404230082670,183,31877.207650273223,83112.22125351305,6,504857,27.0,2084.5
359404230082688,126,50878.666666666664,127276.12609723787,8,764398,30.0,3144.5
359404230082696,155,20135.135483870967,53745.011683003664,6,324744,27.0,2460.0
359404230082712,430,1902.672093023256,10783.721761622306,5,114211,22.0,16.0
359404230082720,326,14014.058282208589,39734.12934454334,5,381435,28.0,216.75
359404230082738,245,7197.469387755102,28529.52047132679,5,312421,26.0,18.0
359404230082753,291,2667.7938144329896,14866.76804471207,5,174952,23.0,17.0
359404230082761,324,3629.58024691358,17580.269521149698,5,193215,21.0,18.25
359404230082779,290,4025.020689655172,16687.7539309245,5,137355,23.0,18.75
359404230082795,3,90.0,126.47529403009902,14,236,20.0,111.0
359404230082803,344,21639.752906976744,43165.40662770674,5,361101,32.0,18029.0
359404230082837,88,131782.6590909091,349664.836197905,9,2418974,6211.5,83055.5
359404230082845,366,2153.5081967213114,18215.7787699517,6,284020,24.0,16.0
359404230082852,295,13524.549152542373,33023.38434692327,5,196751,26.0,950.0
359404230082860,467,2778.886509635974,14235.772997744642,7,131721,24.0,16.0
359404230082894,247,14127.882591093117,38238.004781222044,7,302354,29.0,2505.0
359404230082910,171,12874.941520467837,51081.805645305816,6,357695,27.0,299.5
359404230082928,253,12502.260869565218,36471.218905535454,6,285023,27.0,1146.0
359404230082944,91,103395.21978021978,258624.1194456973,10,1239449,2856.0,71617.0
359404230082985,103,112960.74757281554,223045.399263034,6,1213933,34.0,178087.5
