uuid,count,mean,std,min,max,iqr,cluster,stability_label
351901930024744,827,-80.5671100362757,15.771945600662281,-140,-56,17.0,1,unstable
351901930025279,2010,-86.25721393034826,2.9997528019948785,-121,-63,0.0,0,stable
351901930025717,37,-104.1891891891892,5.531916675267453,-123,-98,5.0,0,stable
351901930026251,8977,-77.52222345995321,2.846641241344485,-109,-74,2.0,0,stable
351901930026269,3765,-90.97317397078353,2.820351242203103,-113,-86,3.0,0,stable
351901930026301,5634,-77.58945686900958,6.060459540761043,-103,-53,6.0,0,stable
351901930027408,5655,-109.05870910698496,2.9644906069983485,-125,-96,4.0,0,stable
351901930027614,275,-88.93454545454546,10.103627631065624,-127,-82,2.0,0,stable
351901930027945,4678,-66.81701581872595,5.26036583269483,-113,-59,6.0,0,stable
351901930063437,1024,-86.716796875,11.98532301749005,-128,-62,16.0,1,unstable
359404230068711,59,-88.38983050847457,8.622378560452034,-106,-64,6.0,0,stable
359404230070428,29,-86.13793103448276,3.4405578651790365,-90,-71,3.0,0,stable
359404230071061,50,-84.92,5.9447799087321425,-108,-73,2.0,0,stable
359404230081607,128,-109.3125,6.322998889817235,-120,-68,8.0,0,stable
359404230081615,243,-93.62139917695474,2.8234325895854475,-104,-74,3.0,0,stable
359404230081664,221,-105.09049773755656,5.418902121802597,-118,-72,9.0,0,stable
359404230081680,276,-85.26811594202898,8.596015867892175,-107,-76,15.25,1,unstable
359404230081722,346,-99.75433526011561,9.977092384827905,-115,-70,18.0,1,unstable
359404230081755,335,-99.4,3.409391748656712,-110,-71,4.0,0,stable
359404230081763,344,-99.31976744186046,7.201559917953997,-114,-76,14.0,1,unstable
359404230081771,246,-94.21544715447155,7.964610832777955,-107,-71,16.0,1,unstable
359404230081789,366,-89.14480874316939,7.337523216291872,-116,-71,13.0,1,unstable
359404230081847,59,-98.42372881355932,7.25449537167154,-113,-71,10.5,0,stable
359404230081862,363,-95.16804407713498,7.994602687479132,-118,-72,11.0,1,unstable
359404230081870,368,-106.89673913043478,5.678506751694224,-120,-76,7.0,0,stable
359404230081896,447,-101.50782997762863,5.152326000717001,-116,-70,6.0,0,stable
359404230081920,501,-105.49700598802396,5.590929351902404,-126,-71,9.0,0,stable
359404230081938,299,-99.93979933110369,5.3088871885804325,-116,-73,4.5,0,stable
359404230081979,69,-92.20289855072464,11.749317514778726,-119,-65,14.0,1,unstable
359404230081987,95,-108.02105263157895,12.782117617792178,-123,-74,20.5,1,unstable
359404230081995,142,-92.6830985915493,11.555214179226617,-116,-70,21.0,1,unstable
359404230082019,117,-89.23931623931624,14.399862051931189,-121,-66,26.0,1,unstable
359404230082050,247,-96.95141700404858,10.104216499727627,-121,-74,19.0,1,unstable
359404230082068,156,-109.21153846153847,4.857995890228694,-120,-76,5.0,0,stable
359404230082092,159,-98.0,11.269989273635012,-115,-73,22.0,1,unstable
359404230082118,293,-98.18088737201366,6.087662396720884,-127,-69,5.0,0,stable
359404230082126,352,-96.14488636363636,5.501517738128951,-114,-72,6.0,0,stable
359404230082159,68,-73.58823529411765,2.91283979053138,-79,-66,4.25,0,stable
359404230082191,183,-93.10382513661202,8.861271248815207,-120,-68,11.0,1,unstable
359404230082209,267,-103.21348314606742,7.2808409259508275,-120,-69,12.0,1,unstable
359404230082233,1585,-100.71104100946373,3.589376227984342,-124,-71,2.0,0,stable
359404230082258,210,-107.52380952380952,7.237720487714504,-121,-75,8.0,0,stable
359404230082316,319,-93.07210031347962,13.66091400166822,-129,-74,19.0,1,unstable
359404230082324,210,-100.96190476190476,6.417565323382526,-117,-70,5.0,0,stable
359404230082332,272,-100.63235294117646,11.245537908722856,-124,-73,23.0,1,unstable
359404230082340,140,-95.68571428571428,8.893523400707473,-120,-71,11.0,1,unstable
359404230082357,243,-94.32098765432099,6.68876045137513,-118,-70,9.0,0,stable
